parameter,value,unit,datetimeLocal
pm25,43.3,µg/m³,2026-03-15T09:50:00+07:00
pm25,43.48,µg/m³,2026-03-15T10:00:00+07:00
pm25,42.95,µg/m³,2026-03-15T10:20:00+07:00
pm25,42.89,µg/m³,2026-03-15T10:25:00+07:00
pm25,43.23,µg/m³,2026-03-15T10:30:00+07:00
pm25,43.08,µg/m³,2026-03-15T10:35:00+07:00
pm25,42.78,µg/m³,2026-03-15T10:45:00+07:00
pm25,41.65,µg/m³,2026-03-15T10:50:00+07:00
pm25,41.94,µg/m³,2026-03-15T10:55:00+07:00
pm25,41.89,µg/m³,2026-03-15T11:00:00+07:00
pm25,40.23,µg/m³,2026-03-15T11:05:00+07:00
pm25,39.82,µg/m³,2026-03-15T11:15:00+07:00
pm25,40.32,µg/m³,2026-03-15T11:30:00+07:00
pm25,41.35,µg/m³,2026-03-15T11:40:00+07:00
pm25,40.52,µg/m³,2026-03-15T11:45:00+07:00
pm25,38.92,µg/m³,2026-03-15T11:55:00+07:00
pm25,38.55,µg/m³,2026-03-15T12:05:00+07:00
pm25,37.68,µg/m³,2026-03-15T12:10:00+07:00
pm25,36.86,µg/m³,2026-03-15T12:15:00+07:00
pm25,33.06,µg/m³,2026-03-15T12:45:00+07:00
pm25,32.26,µg/m³,2026-03-15T12:55:00+07:00
pm25,31.12,µg/m³,2026-03-15T13:05:00+07:00
pm25,30.8,µg/m³,2026-03-15T13:10:00+07:00
pm25,29.49,µg/m³,2026-03-15T13:15:00+07:00
pm25,28.95,µg/m³,2026-03-15T13:20:00+07:00
pm25,28.89,µg/m³,2026-03-15T13:25:00+07:00
pm25,28.13,µg/m³,2026-03-15T13:35:00+07:00
pm25,26.53,µg/m³,2026-03-15T13:40:00+07:00
pm25,27.28,µg/m³,2026-03-15T14:05:00+07:00
pm25,27.02,µg/m³,2026-03-15T14:10:00+07:00
pm25,28.26,µg/m³,2026-03-15T14:20:00+07:00
pm25,26.93,µg/m³,2026-03-15T14:30:00+07:00
pm25,26.54,µg/m³,2026-03-15T14:50:00+07:00
pm25,26.44,µg/m³,2026-03-15T15:05:00+07:00
pm25,26.92,µg/m³,2026-03-15T15:10:00+07:00
pm25,27.74,µg/m³,2026-03-15T15:15:00+07:00
pm25,29.1,µg/m³,2026-03-15T15:25:00+07:00
pm25,30.08,µg/m³,2026-03-15T15:30:00+07:00
pm25,30.25,µg/m³,2026-03-15T15:35:00+07:00
pm25,31.67,µg/m³,2026-03-15T15:40:00+07:00
pm25,35.1,µg/m³,2026-03-15T15:55:00+07:00
pm25,35.34,µg/m³,2026-03-15T16:00:00+07:00
pm25,39.84,µg/m³,2026-03-15T16:10:00+07:00
pm25,41.71,µg/m³,2026-03-15T16:20:00+07:00
pm25,44,µg/m³,2026-03-15T16:50:00+07:00
pm25,43.87,µg/m³,2026-03-15T16:55:00+07:00
pm25,43.52,µg/m³,2026-03-15T17:00:00+07:00
pm25,42.29,µg/m³,2026-03-15T17:10:00+07:00
pm25,40.91,µg/m³,2026-03-15T17:20:00+07:00
pm25,41.06,µg/m³,2026-03-15T17:25:00+07:00
pm25,40.43,µg/m³,2026-03-15T17:30:00+07:00
pm25,38.82,µg/m³,2026-03-15T17:35:00+07:00
pm25,38.58,µg/m³,2026-03-15T17:50:00+07:00
pm25,38.86,µg/m³,2026-03-15T18:05:00+07:00
pm25,39.14,µg/m³,2026-03-15T18:15:00+07:00
pm25,38.97,µg/m³,2026-03-15T18:20:00+07:00
pm25,39.57,µg/m³,2026-03-15T18:30:00+07:00
pm25,38.64,µg/m³,2026-03-15T18:35:00+07:00
pm25,34.96,µg/m³,2026-03-15T18:45:00+07:00
pm25,34.94,µg/m³,2026-03-15T19:00:00+07:00
pm25,33.96,µg/m³,2026-03-15T19:15:00+07:00
pm25,33.49,µg/m³,2026-03-15T19:20:00+07:00
pm25,33.53,µg/m³,2026-03-15T19:30:00+07:00
pm25,33.07,µg/m³,2026-03-15T19:35:00+07:00
pm25,32.06,µg/m³,2026-03-15T19:40:00+07:00
pm25,31.44,µg/m³,2026-03-15T19:45:00+07:00
pm25,31.57,µg/m³,2026-03-15T19:55:00+07:00
pm25,31.09,µg/m³,2026-03-15T20:00:00+07:00
pm25,30.43,µg/m³,2026-03-15T20:05:00+07:00
pm25,30.02,µg/m³,2026-03-15T20:10:00+07:00
pm25,29.89,µg/m³,2026-03-15T20:15:00+07:00
pm25,27.71,µg/m³,2026-03-15T20:25:00+07:00
pm25,27.94,µg/m³,2026-03-15T20:30:00+07:00
pm25,27.38,µg/m³,2026-03-15T20:35:00+07:00
pm25,28.97,µg/m³,2026-03-15T20:40:00+07:00
pm25,29.99,µg/m³,2026-03-15T20:45:00+07:00
pm25,31.31,µg/m³,2026-03-15T20:50:00+07:00
pm25,32.6,µg/m³,2026-03-15T20:55:00+07:00
pm25,33.33,µg/m³,2026-03-15T21:05:00+07:00
pm25,33.95,µg/m³,2026-03-15T21:10:00+07:00
pm25,34.11,µg/m³,2026-03-15T21:15:00+07:00
pm25,34.75,µg/m³,2026-03-15T21:20:00+07:00
pm25,34.67,µg/m³,2026-03-15T21:25:00+07:00
pm25,35.44,µg/m³,2026-03-15T21:30:00+07:00
